Arrival Time,Event,Time,Details
88432.1570044986,Arrival,88432.1570044986,Passenger arrived
88432.1570044986,Process Start,88432.1570044986,Starting process for passenger
88432.1570044986,Check-in,88563.97063581222,C. service time:131.8136313136195
88716.24511761473,Arrival,88716.24511761473,Passenger arrived
88716.24511761473,Process Start,88716.24511761473,Starting process for passenger
88432.1570044986,Security Screening,88563.97063581222,Screening completed in 225.46900154158774 seconds
88432.1570044986,Boarding,88789.4396373538,Boarded flight successfully
88978.13954979053,Arrival,88978.13954979053,Passenger arrived
88978.13954979053,Process Start,88978.13954979053,Starting process for passenger
89112.48249898956,Arrival,89112.48249898956,Passenger arrived
89112.48249898956,Process Start,89112.48249898956,Starting process for passenger
89128.97785186234,Arrival,89128.97785186234,Passenger arrived
89128.97785186234,Process Start,89128.97785186234,Starting process for passenger
89148.9863406181,Arrival,89148.9863406181,Passenger arrived
89148.9863406181,Process Start,89148.9863406181,Starting process for passenger
89165.3414465984,Arrival,89165.3414465984,Passenger arrived
89165.3414465984,Process Start,89165.3414465984,Starting process for passenger
89301.81366099804,Arrival,89301.81366099804,Passenger arrived
89301.81366099804,Process Start,89301.81366099804,Starting process for passenger
89392.74597861333,Arrival,89392.74597861333,Passenger arrived
89392.74597861333,Process Start,89392.74597861333,Starting process for passenger
88716.24511761473,Check-in,89978.84336464344,C. service time:1262.5982470287152
88978.13954979053,Check-in,90053.63626487447,C. service time:74.79290023102699
88716.24511761473,Security Screening,89978.84336464344,Screening completed in 147.42009469742075 seconds
88716.24511761473,Boarding,90126.26345934086,Boarded regional flight successfully
89112.48249898956,Check-in,90175.14927210368,C. service time:121.51300722920244
88978.13954979053,Security Screening,90053.63626487447,Screening completed in 167.1931432265063 seconds
88978.13954979053,Boarding,90220.82940810098,Boarded regional flight successfully
89112.48249898956,Security Screening,90175.14927210368,Screening completed in 256.90283036031985 seconds
89112.48249898956,Boarding,90432.052102464,Boarded regional flight successfully
89128.97785186234,Check-in,90756.9996884597,C. service time:581.8504163560311
89128.97785186234,Security Screening,90756.9996884597,Screening completed in 201.22788363288117 seconds
89128.97785186234,Boarding,90958.22757209258,Boarded regional flight successfully
89148.9863406181,Check-in,91261.94305963251,C. service time:504.9433711728046
89148.9863406181,Security Screening,91261.94305963251,Screening completed in 6.132433659410428 seconds
89148.9863406181,Boarding,91268.07549329192,Boarded regional flight successfully
89165.3414465984,Check-in,91506.61387043104,C. service time:244.67081079853295
