Arrival Time,Event,Time,Details
172831.2637074496,Arrival,172831.2637074496,Passenger arrived
172831.2637074496,Process Start,172831.2637074496,Starting process for passenger
172831.2637074496,Check-in,173230.49189837326,C. service time:399.2281909236685
172712.5872087945,Check-in,173245.12766827104,B. service time:532.5404594765583
172712.5872087945,Security Screening,173245.12766827104,Screening completed in 372.27188998297714 seconds
172712.5872087945,Boarding,173617.39955825402,Boarded flight successfully
172831.2637074496,Security Screening,173230.49189837326,Screening completed in 420.290695128016 seconds
172831.2637074496,Boarding,173650.78259350127,Boarded regional flight successfully
177351.57432096987,Arrival,177351.57432096987,Passenger arrived
177351.57432096987,Process Start,177351.57432096987,Starting process for passenger
177351.57432096987,Check-in,177668.750888901,B. service time:317.1765679311347
177351.57432096987,Security Screening,177668.750888901,Screening completed in 45.41185179580509 seconds
177351.57432096987,Boarding,177714.1627406968,Boarded flight successfully
181753.79819850784,Arrival,181753.79819850784,Passenger arrived
181753.79819850784,Process Start,181753.79819850784,Starting process for passenger
181753.79819850784,Check-in,182041.03854543663,C. service time:287.24034692880457
181753.79819850784,Security Screening,182041.03854543663,Screening completed in 629.2121076655617 seconds
181753.79819850784,Boarding,182670.2506531022,Boarded flight successfully
186183.98603829814,Arrival,186183.98603829814,Passenger arrived
186183.98603829814,Process Start,186183.98603829814,Starting process for passenger
186183.98603829814,Check-in,186367.99152755417,C. service time:184.00548925603545
186183.98603829814,Security Screening,186367.99152755417,Screening completed in 520.1714030116807 seconds
186183.98603829814,Boarding,186888.16293056586,Boarded flight successfully
190193.6441816714,Arrival,190193.6441816714,Passenger arrived
190193.6441816714,Process Start,190193.6441816714,Starting process for passenger
190193.6441816714,Check-in,190510.97569476356,B. service time:317.33151309214054
190193.6441816714,Security Screening,190510.97569476356,Screening completed in 46.868753740034215 seconds
190193.6441816714,Boarding,190557.8444485036,Boarded flight successfully
195341.70496639123,Arrival,195341.70496639123,Passenger arrived
195341.70496639123,Process Start,195341.70496639123,Starting process for passenger
195410.5729139161,Arrival,195410.5729139161,Passenger arrived
195410.5729139161,Process Start,195410.5729139161,Starting process for passenger
195341.70496639123,Check-in,195465.5033908532,C. service time:123.79842446197277
195341.70496639123,Security Screening,195465.5033908532,Screening completed in 257.14404067363375 seconds
195341.70496639123,Boarding,195722.64743152683,Boarded flight successfully
195410.5729139161,Check-in,196135.35861873158,C. service time:669.8552278783635
195410.5729139161,Security Screening,196135.35861873158,Screening completed in 0.12809958468527927 seconds
195410.5729139161,Boarding,196135.48671831627,Boarded regional flight successfully
200211.255929136,Arrival,200211.255929136,Passenger arrived
200211.255929136,Process Start,200211.255929136,Starting process for passenger
200211.255929136,Check-in,200646.50038452086,C. service time:435.24445538485105
200211.255929136,Security Screening,200646.50038452086,Screening completed in 581.4231586883633 seconds
200211.255929136,Boarding,201227.9235432092,Boarded flight successfully
203968.2464608415,Arrival,203968.2464608415,Passenger arrived
203968.2464608415,Process Start,203968.2464608415,Starting process for passenger
203968.2464608415,Check-in,204097.13515984375,C. service time:128.88869900225447
203968.2464608415,Security Screening,204097.13515984375,Screening completed in 957.4075323869068 seconds
203968.2464608415,Boarding,205054.54269223067,Boarded flight successfully
208209.55939103154,Arrival,208209.55939103154,Passenger arrived
208209.55939103154,Process Start,208209.55939103154,Starting process for passenger
208211.71691117936,Arrival,208211.71691117936,Passenger arrived
208211.71691117936,Process Start,208211.71691117936,Starting process for passenger
208233.3516794136,Arrival,208233.3516794136,Passenger arrived
208233.3516794136,Process Start,208233.3516794136,Starting process for passenger
208447.37532046982,Arrival,208447.37532046982,Passenger arrived
208447.37532046982,Process Start,208447.37532046982,Starting process for passenger
208209.55939103154,Check-in,208639.43862210607,C. service time:429.8792310745468
208209.55939103154,Security Screening,208639.43862210607,Screening completed in 163.7278226484771 seconds
208209.55939103154,Boarding,208803.16644475455,Boarded flight successfully
208211.71691117936,Check-in,208867.04993264537,C. service time:227.61131053930356
208233.3516794136,Check-in,208990.2979094414,C. service time:123.24797679602685
208211.71691117936,Security Screening,208867.04993264537,Screening completed in 371.2478737629439 seconds
208211.71691117936,Boarding,209238.2978064083,Boarded regional flight successfully
208233.3516794136,Security Screening,208990.2979094414,Screening completed in 394.3790656916643 seconds
208233.3516794136,Boarding,209384.67697513307,Boarded regional flight successfully
208447.37532046982,Check-in,209576.20666329007,C. service time:585.9087538486765
208447.37532046982,Security Screening,209576.20666329007,Screening completed in 367.5038497075462 seconds
208447.37532046982,Boarding,209943.7105129976,Boarded regional flight successfully
213116.14162128614,Arrival,213116.14162128614,Passenger arrived
213116.14162128614,Process Start,213116.14162128614,Starting process for passenger
213191.57551160612,Arrival,213191.57551160612,Passenger arrived
213191.57551160612,Process Start,213191.57551160612,Starting process for passenger
213214.0940091742,Arrival,213214.0940091742,Passenger arrived
213214.0940091742,Process Start,213214.0940091742,Starting process for passenger
213116.14162128614,Check-in,213248.8553434545,C. service time:132.71372216835317
213294.46017044748,Arrival,213294.46017044748,Passenger arrived
213294.46017044748,Process Start,213294.46017044748,Starting process for passenger
213314.10774432714,Arrival,213314.10774432714,Passenger arrived
213314.10774432714,Process Start,213314.10774432714,Starting process for passenger
213116.14162128614,Security Screening,213248.8553434545,Screening completed in 150.12278905108138 seconds
