Arrival Time,Event,Time,Details
258525.5798130656,Security Screening,259143.11568125538,Screening completed in 73.94049850919245 seconds
258525.5798130656,Boarding,259217.05617976456,Boarded flight successfully
262673.26797291887,Arrival,262673.26797291887,Passenger arrived
262673.26797291887,Process Start,262673.26797291887,Starting process for passenger
262673.26797291887,Check-in,263113.19943887135,B. service time:439.93146595248163
262673.26797291887,Security Screening,263113.19943887135,Screening completed in 323.6296288885558 seconds
262673.26797291887,Boarding,263436.8290677599,Boarded flight successfully
267627.9765281468,Arrival,267627.9765281468,Passenger arrived
267627.9765281468,Process Start,267627.9765281468,Starting process for passenger
267727.7414088153,Arrival,267727.7414088153,Passenger arrived
267727.7414088153,Process Start,267727.7414088153,Starting process for passenger
267791.5267917047,Arrival,267791.5267917047,Passenger arrived
267791.5267917047,Process Start,267791.5267917047,Starting process for passenger
267627.9765281468,Check-in,268387.5028987543,C. service time:759.5263706074965
267727.7414088153,Check-in,268605.12144783576,C. service time:217.61854908141106
267727.7414088153,Security Screening,268605.12144783576,Screening completed in 43.04907846111551 seconds
267727.7414088153,Boarding,268648.1705262969,Boarded regional flight successfully
267627.9765281468,Security Screening,268387.5028987543,Screening completed in 527.3165063288055 seconds
267627.9765281468,Boarding,268914.81940508314,Boarded flight successfully
267791.5267917047,Check-in,268923.29796895466,C. service time:318.1765211189134
267791.5267917047,Security Screening,268923.29796895466,Screening completed in 378.0643717689273 seconds
267791.5267917047,Boarding,269301.3623407236,Boarded regional flight successfully
271917.6217268236,Arrival,271917.6217268236,Passenger arrived
271917.6217268236,Process Start,271917.6217268236,Starting process for passenger
271917.6217268236,Check-in,272301.60857408086,B. service time:383.98684725727003
271917.6217268236,Security Screening,272301.60857408086,Screening completed in 202.66529071587837 seconds
271917.6217268236,Boarding,272504.27386479673,Boarded flight successfully
276160.84806681273,Arrival,276160.84806681273,Passenger arrived
276160.84806681273,Process Start,276160.84806681273,Starting process for passenger
276168.60117752524,Arrival,276168.60117752524,Passenger arrived
276168.60117752524,Process Start,276168.60117752524,Starting process for passenger
276467.7401422055,Arrival,276467.7401422055,Passenger arrived
276467.7401422055,Process Start,276467.7401422055,Starting process for passenger
276500.9611788445,Arrival,276500.9611788445,Passenger arrived
276500.9611788445,Process Start,276500.9611788445,Starting process for passenger
276554.26133782516,Arrival,276554.26133782516,Passenger arrived
276554.26133782516,Process Start,276554.26133782516,Starting process for passenger
276160.84806681273,Check-in,276870.90250487364,C. service time:710.0544380609102
277086.3483541782,Arrival,277086.3483541782,Passenger arrived
277086.3483541782,Process Start,277086.3483541782,Starting process for passenger
276160.84806681273,Security Screening,276870.90250487364,Screening completed in 281.44401977905744 seconds
276160.84806681273,Boarding,277152.3465246527,Boarded flight successfully
276168.60117752524,Check-in,277171.7434369447,C. service time:300.84093207103416
276168.60117752524,Security Screening,277171.7434369447,Screening completed in 31.424028106534504 seconds
276168.60117752524,Boarding,277203.1674650512,Boarded regional flight successfully
276467.7401422055,Check-in,277471.7429824349,C. service time:299.99954549023886
276467.7401422055,Security Screening,277471.7429824349,Screening completed in 29.15401413890269 seconds
276467.7401422055,Boarding,277500.89699657384,Boarded regional flight successfully
276500.9611788445,Check-in,277632.7298512791,C. service time:160.98686884420374
276500.9611788445,Security Screening,277632.7298512791,Screening completed in 174.97817287854798 seconds
276500.9611788445,Boarding,277807.7080241577,Boarded regional flight successfully
276554.26133782516,Check-in,277812.39850982866,C. service time:179.66865854952673
276554.26133782516,Security Screening,277812.39850982866,Screening completed in 351.54632629231816 seconds
276554.26133782516,Boarding,278163.944836121,Boarded regional flight successfully
277086.3483541782,Check-in,278657.5991679426,C. service time:845.2006581139417
277086.3483541782,Security Screening,278657.5991679426,Screening completed in 62.33645693061412 seconds
277086.3483541782,Boarding,278719.9356248732,Boarded regional flight successfully
281612.7903788476,Arrival,281612.7903788476,Passenger arrived
281612.7903788476,Process Start,281612.7903788476,Starting process for passenger
281675.0634952604,Arrival,281675.0634952604,Passenger arrived
281675.0634952604,Process Start,281675.0634952604,Starting process for passenger
281612.7903788476,Check-in,281777.8102239051,B. service time:165.01984505744014
281612.7903788476,Security Screening,281777.8102239051,Screening completed in 20.179593007125142 seconds
281612.7903788476,Boarding,281797.9898169122,Boarded flight successfully
281675.0634952604,Check-in,281846.6382830471,C. service time:171.5747877867296
281675.0634952604,Security Screening,281846.6382830471,Screening completed in 114.41760736604996 seconds
281675.0634952604,Boarding,281961.0558904132,Boarded regional flight successfully
286526.5441348608,Arrival,286526.5441348608,Passenger arrived
286526.5441348608,Process Start,286526.5441348608,Starting process for passenger
286526.5441348608,Check-in,286618.34354606725,C. service time:91.79941120645422
286526.5441348608,Security Screening,286618.34354606725,Screening completed in 1.9174245756476058 seconds
286526.5441348608,Boarding,286620.2609706429,Boarded flight successfully
291454.830485689,Arrival,291454.830485689,Passenger arrived
291454.830485689,Process Start,291454.830485689,Starting process for passenger
291454.830485689,Check-in,291479.06248558743,C. service time:24.23199989846862
291730.82169399207,Arrival,291730.82169399207,Passenger arrived
291730.82169399207,Process Start,291730.82169399207,Starting process for passenger
291454.830485689,Security Screening,291479.06248558743,Screening completed in 301.61091114649287 seconds
291454.830485689,Boarding,291780.67339673394,Boarded flight successfully
291730.82169399207,Check-in,292266.82660122623,C. service time:536.0049072341528
291730.82169399207,Security Screening,292266.82660122623,Screening completed in 166.0991974080987 seconds
291730.82169399207,Boarding,292432.92579863436,Boarded regional flight successfully
296433.47753284423,Arrival,296433.47753284423,Passenger arrived
296433.47753284423,Process Start,296433.47753284423,Starting process for passenger
296433.47753284423,Check-in,296856.27957561734,B. service time:422.8020427730912
296433.47753284423,Security Screening,296856.27957561734,Screening completed in 30.09314838072289 seconds
296433.47753284423,Boarding,296886.3727239981,Boarded flight successfully
301212.16320621327,Arrival,301212.16320621327,Passenger arrived
301212.16320621327,Process Start,301212.16320621327,Starting process for passenger
301212.16320621327,Check-in,301864.7559830451,C. service time:652.5927768318309
301212.16320621327,Security Screening,301864.7559830451,Screening completed in 79.84928395318072 seconds
301212.16320621327,Boarding,301944.6052669983,Boarded flight successfully
306111.73476514197,Arrival,306111.73476514197,Passenger arrived
