Arrival Time,Event,Time,Details
346607.7463408269,Arrival,346607.7463408269,Passenger arrived
346607.7463408269,Process Start,346607.7463408269,Starting process for passenger
346611.67293589184,Arrival,346611.67293589184,Passenger arrived
346611.67293589184,Process Start,346611.67293589184,Starting process for passenger
346607.7463408269,Check-in,347017.2964529631,C. service time:409.55011213615194
346607.7463408269,Security Screening,347017.2964529631,Screening completed in 247.51018300526758 seconds
346607.7463408269,Boarding,347264.8066359683,Boarded flight successfully
346611.67293589184,Check-in,347710.74765660387,C. service time:693.4512036407684
346611.67293589184,Security Screening,347710.74765660387,Screening completed in 232.08228472742852 seconds
346611.67293589184,Boarding,347942.8299413313,Boarded regional flight successfully
351475.33690205094,Arrival,351475.33690205094,Passenger arrived
351475.33690205094,Process Start,351475.33690205094,Starting process for passenger
351475.33690205094,Check-in,351808.556156605,B. service time:333.2192545540703
351475.33690205094,Security Screening,351808.556156605,Screening completed in 76.1776906808866 seconds
351475.33690205094,Boarding,351884.7338472859,Boarded flight successfully
356120.7081777251,Arrival,356120.7081777251,Passenger arrived
356120.7081777251,Process Start,356120.7081777251,Starting process for passenger
356120.7081777251,Check-in,356309.59765975125,B. service time:188.8894820261686
356314.11783424456,Arrival,356314.11783424456,Passenger arrived
356314.11783424456,Process Start,356314.11783424456,Starting process for passenger
356120.7081777251,Security Screening,356309.59765975125,Screening completed in 8.017185867264315 seconds
356120.7081777251,Boarding,356317.6148456185,Boarded flight successfully
356314.11783424456,Check-in,356575.36893754895,C. service time:261.25110330440623
356314.11783424456,Security Screening,356575.36893754895,Screening completed in 29.93067583887755 seconds
356314.11783424456,Boarding,356605.29961338785,Boarded regional flight successfully
361134.9573320336,Arrival,361134.9573320336,Passenger arrived
361134.9573320336,Process Start,361134.9573320336,Starting process for passenger
361252.28853885067,Arrival,361252.28853885067,Passenger arrived
361252.28853885067,Process Start,361252.28853885067,Starting process for passenger
361134.9573320336,Check-in,361261.4878932303,C. service time:126.53056119667923
361134.9573320336,Security Screening,361261.4878932303,Screening completed in 49.14739311433997 seconds
361134.9573320336,Boarding,361310.6352863446,Boarded flight successfully
361252.28853885067,Check-in,361945.05419324344,C. service time:683.5663000131825
361252.28853885067,Security Screening,361945.05419324344,Screening completed in 542.3053193482531 seconds
361252.28853885067,Boarding,362487.3595125917,Boarded regional flight successfully
366636.80515066953,Arrival,366636.80515066953,Passenger arrived
366636.80515066953,Process Start,366636.80515066953,Starting process for passenger
366636.80515066953,Check-in,367241.3414105203,B. service time:604.5362598507905
366636.80515066953,Security Screening,367241.3414105203,Screening completed in 27.80121267133812 seconds
366636.80515066953,Boarding,367269.14262319164,Boarded flight successfully
371121.3121440662,Arrival,371121.3121440662,Passenger arrived
371121.3121440662,Process Start,371121.3121440662,Starting process for passenger
371207.7514536033,Arrival,371207.7514536033,Passenger arrived
371207.7514536033,Process Start,371207.7514536033,Starting process for passenger
371121.3121440662,Check-in,371370.54215321725,B. service time:249.2300091510147
371207.7514536033,Check-in,371410.52536494064,C. service time:202.77391133729344
371121.3121440662,Security Screening,371370.54215321725,Screening completed in 73.07935638119612 seconds
371121.3121440662,Boarding,371443.62150959845,Boarded flight successfully
371453.5603561882,Arrival,371453.5603561882,Passenger arrived
371453.5603561882,Process Start,371453.5603561882,Starting process for passenger
371207.7514536033,Security Screening,371410.52536494064,Screening completed in 50.51861358755968 seconds
371207.7514536033,Boarding,371461.0439785282,Boarded regional flight successfully
371453.5603561882,Check-in,372321.95672886714,C. service time:868.3963726789503
371453.5603561882,Security Screening,372321.95672886714,Screening completed in 305.8795801907649 seconds
371453.5603561882,Boarding,372627.8363090579,Boarded regional flight successfully
376582.79760283814,Arrival,376582.79760283814,Passenger arrived
